time,TOMATOES,MUSHROOMS,CUCUMBERS,CARROTS,BROCCOLI,PINEAPPLES,BANANAS,AVACADOS,KALE
1970,10.33,0.27,2.59,5.79,0.49,0.7,17.4,0.4,
1971,9.64,0.3,2.56,5.93,0.66,0.6,18.1,0.8,
1972,10.28,0.35,2.73,6.34,0.65,0.7,17.9,0.4,
1973,10.61,0.46,2.53,6.5,0.7,0.9,18.2,0.7,
1974,10.07,0.56,2.72,6.7,0.72,0.9,18.5,1.2,
1975,10.2,0.62,2.58,6.25,0.91,1,17.6,0.7,
1976,10.67,0.65,2.84,6.22,0.99,1.1,19.3,1.1,
1977,10.5,0.82,3.22,5.15,1.13,1.3,19.2,1.1,
1978,10.98,0.97,3.5,5.15,0.91,1.4,20.2,1.2,
1979,10.56,1.07,3.53,5.71,1.1,1.4,21,0.8,
1980,10.9,1.14,3.55,5.97,1.29,1.4,20.8,2,
1981,10.47,1.31,3.68,5.94,1.52,1.5,21.5,1.5,
1982,10.95,1.37,3.85,6.41,1.83,1.6,22.5,1.7,
1983,11.45,1.56,4.17,6.3,1.87,1.6,21.3,2.1,
1984,12.07,1.67,4.28,6.48,2.26,1.4,22.2,1.7,
1985,12.62,1.69,4.04,6.3,2.37,1.4,23.5,1.4,
1986,13.43,1.78,4.25,6.29,2.8,1.6,25.8,2.2,
1987,13.47,1.83,4.66,8.05,2.84,1.5,25,1.5,
1988,14.31,1.87,4.44,6.88,3.47,1.7,24.3,1.5,
1989,14.32,1.94,4.4,7.84,3.5,1.9,24.7,1,
1990,13.19,1.9,4.3,8.04,3.1,1.9,24.3,1.3,
1991,13.06,1.83,4.19,7.48,2.8,1.8,25,1.4,
1992,13.13,1.89,4.53,8.04,3.14,1.9,27.1,2.1,
1993,13.86,1.88,4.79,10.52,3.07,1.9,26.6,1.3,
1994,13.78,1.92,4.93,12.3,4.08,1.9,27.8,1.3,
1995,14.32,1.92,5.16,10.86,3.96,1.8,27.1,1.5,
1996,14.79,1.98,5.46,12,4.15,1.8,27.6,1.5,
1997,14.7,2.2,5.91,13.69,4.57,2.2,27.1,1.6,0.37
1998,15.72,2.33,5.97,9.24,4.64,2.6,28,1.4,0.36
1999,16.21,2.35,6.19,8.98,5.67,2.9,30.7,1.8,0.34
2000,16.14,2.45,5.84,8.93,5.42,3.1,28.4,2.1,0.34
2001,16.32,2.44,5.77,9.1,4.97,3,26.6,2.4,0.32
2002,17.26,2.47,6.09,8.16,4.92,3.6,26.8,2.2,0.3
2003,16.5,2.5,5.67,8.52,4.92,4.2,26.2,2.6,0.27
2004,16.96,2.46,5.92,8.46,4.89,4.2,25.8,2.9,0.28
